genesymbol,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,workflow
Krr1,2.9792171930585796e-11,0.6449363172778639,0.386,0.258,5.981076436784406e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Chrdl1,3.0359362416156795e-11,2.005362220221122,0.047,0.012,6.09494559866764e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Zc4h2,3.0398787174784366e-11,-1.069957870726832,0.135,0.26,6.10286051320971e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Eif2a,3.055518335359601e-11,0.4188153131457441,0.661,0.513,6.134258610067934e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Mcm8,3.105150646760566e-11,0.9736533604937834,0.171,0.085,6.233900438436513e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Gid8,3.178506350380055e-11,0.4614997751365426,0.526,0.382,6.381169349022998e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Selenon,3.2261952488749245e-11,0.6648282464528141,0.402,0.274,6.476909581641299e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Dennd1b,3.248317405517823e-11,0.4980825814046193,0.476,0.335,6.521322023317581e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Cse1l,3.274203808788124e-11,0.612477863180828,0.436,0.308,6.573291566523038e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
D030068K23Rik,3.276777674509198e-11,-2.9327725241940192,0.013,0.097,6.578458859344666e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Bdkrb2,3.2869108115382494e-11,2.7602497223845903,0.029,0.005,6.59880214524419e-7,3,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
