genesymbol,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,workflow
Actr2,1.372741588622095e-12,-0.5662929525202547,0.494,0.619,2.7563278357943043e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Pcsk2os1,1.3828664393356308e-12,-3.5702601314839475,0.007,0.093,2.7766575235420132e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Kdm4c,1.428417747300087e-12,-0.6652587750077832,0.409,0.54,2.8681199948038444e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Vps41,1.4473532230529236e-12,-0.5417532167299027,0.57,0.675,2.9061405365679653e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Mfn1,1.4549414670032479e-12,0.648112487714259,0.374,0.241,2.9213769715958217e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Slc5a3,1.4751907325902952e-12,1.1425426501889038,0.177,0.087,2.9620354719680538e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Rdh14,1.5004856973538112e-12,0.7157005139542254,0.367,0.238,3.0128252317167184e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Snrpd1,1.5086452518233528e-12,0.23657163956364213,0.981,0.975,3.02920880113611e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Zfp771,1.5316587237518634e-12,0.46077890154673906,0.666,0.541,3.075417551421367e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Pom121,1.5347229778775794e-12,0.7243128243965435,0.354,0.228,3.0815702672803915e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Tmem30a,1.5366993189506694e-12,0.5380684174949131,0.563,0.428,3.085538562521049e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Apex1,1.5820458027078528e-12,0.35398453918813155,0.853,0.781,3.1765897672570986e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Ddx25,1.6618120839566244e-12,-1.1509789024279198,0.149,0.279,3.336752483376506e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Wdr43,1.665180866662333e-12,0.5791466187853584,0.525,0.392,3.343516662171298e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Atf4,1.6687978377895981e-12,0.4251918307259566,0.724,0.6,3.350779178497734e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Eif1a,1.7174521550879384e-12,0.590879296364875,0.464,0.324,3.4484721822010715e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
2810457G06Rik,1.7361266984999717e-12,2.381801583658471,0.038,0.007,3.4859687979180925e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Ipo4,1.8448617412359415e-12,0.7103813616682284,0.352,0.223,3.704297890227647e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
2610507I01Rik,1.851944038460533e-12,1.469674339683806,0.092,0.033,3.718518434824904e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Gm15398,1.8620390979953717e-12,1.733388140416376,0.081,0.028,3.7387883048649075e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Pcdh17,1.8690887104017685e-12,0.5353958265323613,0.343,0.213,3.7529432216157114e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Mfng,1.9242778534200424e-12,-1.173679706273293,0.113,0.243,3.863757501882103e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
Rtkn,1.9262990527263023e-12,1.4804831444020743,0.083,0.028,3.8678158679691426e-8,4,seurat_posthocfilt_threshold_doubletfinder_cellbender_fromraw_10xmousebrain
