genesymbol,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,workflow
Scp2,1.235093489559417e-6,-0.7036565160500721,0.489,0.585,0.02493900774118375,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Stag2,1.2402901702372835e-6,-0.7864373526685027,0.29,0.424,0.02504393911743123,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Ptbp1,1.2489483168896965e-6,-1.1985561557591833,0.203,0.325,0.02521876441463674,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Slc32a1,1.2502858005321064e-6,-3.7623053112304103,0.011,0.097,0.02524577088434429,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Sec63,1.2654473399370023e-6,-0.4632855236530911,0.678,0.756,0.02555191268800795,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Cox7a2l,1.272028291373666e-6,-0.4765555247999146,0.717,0.77,0.02568479525941706,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Wdr18,1.28936929986601e-6,0.452356693047386,0.576,0.438,0.02603494490289447,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Pimreg,1.2992764827678998e-6,-4.84141704018854,0.007,0.091,0.02623499074004943,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Ift88,1.3021562466330183e-6,0.6171648846607882,0.344,0.219,0.02629313893201391,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Filip1,1.3036269321221197e-6,1.3080376806445106,0.083,0.031,0.02632283501340984,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Pon2,1.304233237607138e-6,-3.973900682914166,0.007,0.091,0.02633507753376333,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Reck,1.307178887257998e-6,-1.9541824482996604,0.058,0.164,0.02639455609151349,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Cit,1.3084270260566104e-6,-5.438367891448761,0,0.079,0.02641975851013507,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Tmem131l,1.3099023339628658e-6,-0.4743552077437059,0.826,0.844,0.02644954792737818,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Utp14a,1.321575734584338e-6,0.4366421312607558,0.525,0.369,0.02668525723272695,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Xpo7,1.3279354610212464e-6,-0.5347752670871049,0.605,0.691,0.026813672828941,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Echs1,1.3385183275413672e-6,-0.7358523636474708,0.46,0.556,0.02702736206971528,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Birc5,1.3542443034521233e-6,-4.114763218754016,0.014,0.102,0.02734490097530527,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Dph1,1.3569400510144874e-6,1.780578874939816,0.058,0.018,0.02739933351008453,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Pabpc4,1.3606927201997024e-6,0.4522957380974092,0.54,0.388,0.02747510740627239,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Rnh1,1.3741328780732816e-6,-1.0716944968621298,0.163,0.292,0.0277464910740557,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Pabpc1l,1.3853476015760064e-6,1.3699383626847847,0.112,0.048,0.02797293877102272,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Tmem8b,1.408256397003642e-6,0.7117924498577397,0.246,0.14,0.02843551316829754,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Zmat1,1.4160985652336878e-6,1.0106967326264735,0.141,0.066,0.02859386222919862,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Mki67,1.4197612276678169e-6,-3.4320706529875524,0.018,0.108,0.02866781870906855,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Dok4,1.4331347740935027e-6,0.36970532539136225,0.322,0.195,0.028937857358496,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Hmgn3,1.4398551686379187e-6,-0.7857331880865583,0.536,0.631,0.02907355556513685,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Tmem199,1.4472028476146174e-6,0.4539728672204808,0.496,0.343,0.02922191989903435,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Npr2,1.451047746031984e-6,0.9566076528390072,0.174,0.088,0.02929955608787782,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Grik1,1.452419314966266e-6,-4.194930025304484,0.011,0.097,0.02932725080779884,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Ro60,1.4689849029820287e-6,0.5164619363237173,0.551,0.412,0.02966174316101312,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Ramp3,1.4764794549093208e-6,1.504146613890478,0.058,0.018,0.029813073153529,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Smc2os,1.4859285308739612e-6,1.5277591711124288,0.076,0.027,0.03000386889540702,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Kdm5a,1.487711664229644e-6,-0.7068251118585085,0.355,0.486,0.03003987392412497,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Myo1h,1.5003559449024415e-6,1.8076757979523317,0.054,0.016,0.03029518723947009,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
Pou2f2,1.5051980365891594e-6,0.383578567938571,0.598,0.428,0.0303929587548083,9,seurat_posthocfilt_threshold_scdblfinder_soupx_tenx_10xmousebrain
