genesymbol,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,workflow
Mrpl19,9.396520917913284e-7,-0.935955219366144,0.115,0.283,0.01894620512678855,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Dnajb9,9.412749245339448e-7,-1.253582145309965,0.12,0.281,0.01897892630337793,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Sptssa,9.424314717087432e-7,-0.6027023487341161,0.375,0.579,0.01900224576406339,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Gsk3a,9.42746605079752e-7,-0.6320427547895027,0.286,0.491,0.01900859979822303,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Cstb,9.469116443644504e-7,-0.9141529372484748,0.146,0.323,0.01909257948532041,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Pcca,9.517216016927676e-7,-1.0956436980681763,0.12,0.29,0.01918956265493127,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Nsmce1,9.54999514273317e-7,-0.5781140799841646,0.396,0.593,0.01925565520629289,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Mbd3,9.691451809350428e-7,-0.469109255439199,0.677,0.828,0.01954087428319326,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Prxl2b,9.723600836915335e-7,-1.6659236474652803,0.062,0.207,0.01960569636747239,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Tmem11,9.75382081963565e-7,-0.5745715150873738,0.292,0.508,0.01966662891863136,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Kcnh5,9.80380714152527e-7,-3.84395884276862,0.01,0.129,0.0197674163394574,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Clk3,9.840837864665772e-7,-0.7682841671223588,0.177,0.363,0.01984208138652559,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Prom1,9.926482293623852e-7,-2.206754360866326,0.026,0.156,0.02001476624863377,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Chd6,9.940366629575504e-7,0.4925876936305327,0.76,0.753,0.02004276123521308,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Aimp2,1.0080972480181882e-6,-0.7736544517375621,0.135,0.313,0.02032626481179073,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Phf5a,1.0109372363803755e-6,-0.448761663256689,0.589,0.762,0.02038352749713751,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Mpzl1,1.016565072657796e-6,-0.4852798484426193,0.297,0.532,0.02049700155999914,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Timm23,1.0322419458033117e-6,-0.4666442285367966,0.672,0.796,0.02081309435323217,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Nt5dc3,1.042186047006063e-6,-1.9988889062985624,0.047,0.185,0.02101359726578324,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Tmem230,1.0451177863440888e-6,-1.1739888554147382,0.109,0.268,0.02107270992605586,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Ppp1r15a,1.0662748222784625e-6,-2.788105608035102,0.016,0.138,0.02149929924160064,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Ndufv1,1.067670880943249e-6,-0.48105309462767015,0.484,0.698,0.02152744797245872,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
Nsmce3,1.0702292756134894e-6,-0.8553606714464432,0.182,0.36,0.02157903288419478,12,seurat_posthocfilt_threshold_scdblfinder_soupx_emptydrops_10xmousebrain
